State Name,State Code,City/Town,Postcode,Suburb,PropertyMedianValue,Updated Year,Updated Month,SuburbAltKey
New South Wales,NSW,Sydney,2000,Dawes Point,1044350,2017,6,1
New South Wales,NSW,Sydney,2000,Haymarket,1044350,2017,6,2
New South Wales,NSW,Sydney,2000,Millers Point,1044350,2017,6,3
New South Wales,NSW,Sydney,2000,Parliament House,1044350,2017,6,4
New South Wales,NSW,Sydney,2000,Sydney,1044350,2017,6,5
New South Wales,NSW,Sydney,2000,Sydney South,1044350,2017,6,6
New South Wales,NSW,Sydney,2000,The Rocks,1044350,2017,6,7
New South Wales,NSW,Sydney,2007,Broadway,1051540,2017,6,8
New South Wales,NSW,Sydney,2007,Ultimo,1051540,2017,6,9
New South Wales,NSW,Sydney,2008,Chippendale,1052500,2017,6,10
New South Wales,NSW,Sydney,2008,Darlington,1052500,2017,6,11
New South Wales,NSW,Sydney,2009,Pyrmont,985000,2017,6,12
New South Wales,NSW,Sydney,2010,Darlinghurst,1250000,2017,6,13
New South Wales,NSW,Sydney,2010,Surry Hills,1250000,2017,6,14
New South Wales,NSW,Sydney,2011,Elizabeth Bay,850000,2017,6,15
New South Wales,NSW,Sydney,2011,Hmas Kuttabul,850000,2017,6,16
New South Wales,NSW,Sydney,2011,Potts Point,850000,2017,6,17
New South Wales,NSW,Sydney,2011,Rushcutters Bay,850000,2017,6,18
New South Wales,NSW,Sydney,2011,Woolloomooloo,850000,2017,6,19
New South Wales,NSW,Sydney,2015,Alexandria,945000,2017,6,20
New South Wales,NSW,Sydney,2015,Beaconsfield,945000,2017,6,21
New South Wales,NSW,Sydney,2015,Eveleigh,945000,2017,6,22
New South Wales,NSW,Sydney,2016,Redfern,1120000,2017,6,23
New South Wales,NSW,Sydney,2017,Waterloo,910000,2017,6,24
New South Wales,NSW,Sydney,2017,Zetland,910000,2017,6,25
New South Wales,NSW,Sydney,2018,Eastlakes,800000,2017,6,26
New South Wales,NSW,Sydney,2018,Rosebery,800000,2017,6,27
New South Wales,NSW,Sydney,2019,Banksmeadow,1070000,2017,6,28
