Train_Station,Street_Name,Street_Type,Entrance_Type,LAT,LONG,Exit_Number,Station_Alt_key,Station_Key
Aberdeen,Macqueen,St,Stairs,-32.16689969,150.8919751,,1,
Aberdeen,Macqueen,St,Ramp,-32.16688641,150.8919573,,2,
Adamstown,Park,Ave,Path,-32.9337056,151.7204518,,3,
Adamstown,St James,Rd,Stairs,-32.93341396,151.7203632,,4,
Adamstown,St James,Rd,Ramp,-32.93340162,151.7203474,,5,
Adamstown,Park,Ave,Path,-32.93382729,151.7202364,,6,
Albion Park,Burroo,St,Ramp,-34.56340933,150.79939,,7,
Albion Park,Princes,Hwy,Ramp,-34.56350712,150.7991893,,8,
Albion Park,Princes,Hwy,Stairs,-34.56293995,150.798574,,9,
Albion Park,Princes,Hwy,Ramp,-34.56278202,150.7984185,,10,
Allawah,Railway,Pde,Ramp,-33.96996874,151.1149448,,11,
Allawah,Roberts,Lane,Ramp,-33.96953727,151.1146945,,12,
Allawah,Roberts,Lane,Stairs,-33.96949011,151.1145667,,13,
Allawah,Railway,Pde,Lift,-33.96987782,151.1144352,,14,
Allawah,Railway,Pde,Ramp,-33.96988689,151.1142405,,15,
Arlington LR,Grove,St,Path,-33.9020453,151.1381593,,16,
Arlington LR,Constitution,Rd,Path,-33.9020497,151.1380434,,17,
Arncliffe,The Arcade,,Stairs,-33.93692447,151.1474278,,18,
Arncliffe,The Arcade,,Lift,-33.93696302,151.1474227,,19,
Arncliffe,Firth,St,Lift,-33.93677457,151.1468602,,20,
Arncliffe,Firth,St,Stairs,-33.93671781,151.1468509,,21,
Artarmon,Valetta,Lane,Ramp,-33.80823377,151.1847419,,22,
Artarmon,Hampden,Rd,Lift,-33.80875941,151.1847201,,23,
Artarmon,Hampden,Rd,Stairs,-33.80854065,151.1844285,,24,
Ashfield,Station,St,Lift,-33.88744211,151.1259581,,25,
Ashfield,Station,St,Stairs,-33.88739665,151.1258025,,26,
Ashfield,Brown,St,Lift,-33.88789161,151.1257974,,27,
Ashfield,Brown,St,Stairs,-33.887775,151.1255397,,28,
Asquith,Haldane,St,Path,-33.68869132,151.1082656,,29,
Asquith,Pacific,Hwy,Ramp,-33.68848916,151.1079991,,30,
Auburn,Rawson,St,Ramp,-33.8492876,151.0332914,,31,
Auburn,South,Pde,Stairs,-33.849663,151.0329192,,32,
Auburn,South,Pde,Ramp,-33.84946375,151.0327209,,33,
Austinmer,Gilchrist,St,Path,-34.3065205,150.9293511,,34,
Austinmer,Railway,Ave,Path,-34.30650136,150.9289071,,35,
Awaba,Adelaide,St,Ramp,-33.0129167,151.5421589,,36,
Awaba,Adelaide,St,Path,-33.01291676,151.5421328,,37,
Awaba,Wilton,Rd,Ramp,-33.01310914,151.5420747,,38,
Banksia,Hattersley,St,Ramp,-33.94490035,151.140849,,39,
Banksia,Railway,St,Ramp,-33.94479129,151.1404987,,40,
Banksia,Railway,St,Stairs,-33.94488347,151.1404482,,41,
Bankstown,North,Tce,Ramp,-33.91768635,151.0342697,,42,
Bankstown,Bankstown City,Plza,Path,-33.91805216,151.03411,,43,
Bankstown,Bankstown City,Plza,Path,-33.91778824,151.0337625,,44,
Bardwell Park,Hartill Law,Ave,Stairs,-33.93137824,151.125379,,45,
Bargo,Great Southern,Rd,Path,-34.29097858,150.5801756,,46,
Bargo,Great Southern,Rd,Ramp,-34.29098411,150.5801501,,47,
Bargo,Railside,Ave,Ramp,-34.29100778,150.5800205,,48,
Bargo,Railside,Ave,Path,-34.29104476,150.5800077,,49,
Beecroft,Sutherland,Rd,Path,-33.74921627,151.0667339,,50,
Beecroft,Wongala,Cres,Path,-33.74904472,151.0663377,,51,
Beecroft,Wongala,Cres,Path,-33.74923381,151.0662247,,52,
Bell,Sandham,Rd,Ramp,-33.5061656,150.2793612,,53,
Bell,Chiefley,Rd,Stairs,-33.50623435,150.2790794,,54,
Bellambi,Bellambi,Lane,Ramp,-34.36261281,150.9101311,,55,
Belmore,Burwood,Rd,Lift,-33.91724884,151.0883372,,56,
Belmore,Burwood,Rd,Stairs,-33.91722736,151.0883244,,57,
Berala,Campbell,St,Path,-33.8719773,151.0328288,,58,
Berala,Woodburn,Rd,Path,-33.87139384,151.0323272,,59,
Beresfield,Lawson,Ave,Stairs,-32.79940714,151.6585784,,60,
